IDEN;HOJA;MUNICIPIO;SITIO;NOMBRE;LAT;LON;PROP;CONST;PERF;ENTU;NIVEL;FENIV;GASTO;COTA;ND;DIAM1;REG;DIAM2;PBOMBEO;EPOZO;NORTE;ESTE;ACT_MASTER
FA6578004A;6048;1101;MENE MAUROA CAMPO MEDIA;;104222.0;705922.0;TALON CA;;;;;  0473;;87.65;;;;12.0;;;1184199.77;282403.34;1994-01-18
FA6578005A;6048;1102;CASIGUA LOS PEDROS;;104833.0;705707.0;COMUNIDAD;;;;;  0473;;104.08;;;;;;;1195574.6;286578.96;1994-01-18
FA6578006A;6048;1102;JADAGUA;;104948.0;705948.0;COMUNIDAD;;48.0;48.0;34.0;  0473;;65.01;;;;6.0;;;1197911.08;281702.38;1994-01-18
FA6578007C;6048;1101;MENE MAUROA HTO LAS QUIRICIAS;;104503.0;705735.0;PEDRO ROMAN;;;7.0;4.0;  0773;;70.63;;;;;;;1189126.58;285686.94;1994-01-18
FA6579001A;5948;1101;MENE MAUROA SABANA GRANDE;;104043.0;710016.0;ACUERUR;;118.0;110.0;57.0;  0473;3.0;;;;;6.0;;;1181167.99;280742.33;1994-01-18
FA6579002A;5948;1101;CASERIO EL SEIS;;104313.0;710214.0;ACUERUR;;139.0;139.0;27.0;  0773;6.0;63.88;;;;6.0;;;1185801.24;277185.94;1994-01-18
FA6579003A;5948;1101;MENE MAUROA EL DIECISEIS;;104010.0;710155.0;COMUNIDAD;;;;0.01;  0473;;;;;;10.0;;;1180173.48;277726.38;1994-01-18
FA6579005A;5948;1101;MENE MAUROA SABANA GRANDE;;104039.0;710022.0;COMUNIDAD;;99.0;99.0;46.0;  0473;;;;;;6.0;;;1181046.24;280559.15;1994-01-18
FA6579006A;5948;1101;MENE MAUROA SABANA GRANDE;;104042.0;710022.0;COMUNIDAD;;81.0;81.0;47.0;  0473;;;;;;6.0;;;1181138.44;280559.75;1994-01-18
FA6579007A;5948;1101;MENE MAUROA SABANA GRANDE;;104050.0;710020.0;COMUNIDAD;;;;;  0473;;178.0;;;;6.0;;;1181383.89;280622.14;1994-01-18
FA6579008A;5948;1101;MENE MAUROA SABANA GRANDE;;104048.0;710020.0;COMUNIDAD;;50.0;50.0;49.0;  0473;;;;;;6.0;;;1181322.43;280621.74;1994-01-18
FA6579009A;5948;1101;MENE MAUROA MANO BLOCK;;104140.0;710015.0;TALON CA;;;;5.0;  0473;;125.0;;;;6.0;;;1182919.48;280784.09;1994-01-18
FA6579010A;5948;1101;MENE MAUROA MANO BLOCK;;104120.0;710034.0;TALON CA;;;;;  0473;;126.7;;;;6.0;;;1182308.6;280202.59;1994-01-18
FA6579011A;5948;1101;MENE MAUROA MANO BLOCK;;104135.0;710030.0;AMADOR GARCIA;;47.0;47.0;36.0;  0473;;145.7;;;;6.0;;;1182768.79;280327.17;1994-01-18
FA6579012A;5948;1101;PLANTA TRATAMIENTO MENE MAUROA;;104211.0;710332.0;CONSEJO MUNICIPAL;;100.0;100.0;32.0;  0773;30.0;;;;;10.0;;;1183911.6;274802.54;1994-01-18
FA6579013A;5948;1101;ENTRADA MENE MAUROA;;104208.0;710340.0;CONSEJO MUNICIPAL;;100.0;100.0;32.0;  0773;20.0;;;;;10.0;;;1183821.03;274558.77;1994-01-18
FA6579014C;5948;1101;MENE MAUROA HDA EL SALVADOR;;104300.0;710257.0;ANTONIO OBERTO;;;27.0;23.0;  0773;;;;;;;;;1185410.39;275876.38;1994-01-18
FA6579015A;5948;1101;MENE MAUROA ALCABALA;;104258.0;710401.0;ROSA DE RODRIGUEZ;;100.0;100.0;30.0;  0773;;;;;;6.0;;;1185361.93;273930.77;1994-01-18
FA6579016C;5948;1101;MENE MAUROA HDA LAS 4 BOCAS;;104111.0;710444.0;ANTONIO REYES;;;36.0;27.0;  0773;1.0;;;;;;;;1182082.32;272601.66;1994-01-18
