"IDEN";"HOJA";"MUNICIPIO";"SITIO";"NOMBRE";"LAT";"LON";"PROP";"CONST";"PERF";"ENTU";"NIVEL";"FENIV";"GASTO";"COTA";"ND";"DIAM1";"REG";"DIAM2";"PBOMBEO";"EPOZO";"NORTE";"ESTE";"ACT_MASTER"
"CA6160124A";"6646";"0203";"CENTRAL TACARIGUA";;"1005";"6755";"CENTRAL TACARIGUA";;;;"   2.30";"270988";;;;;;"  8";;;"1114835.25";" 618709.50";18/1/1994 0:00:00
"CA6160125C";"6646";"0905";"SAMAN MOCHO PARC 587";;"1008";"6752";"ITALO ANGELILLO";;;"   7.0";;"270988";;;;;;"  2";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160126N";"6646";"0905";"LA GLORIETA";;"1008";"6752";"INOS";;;;"   4.76";"270988";;;;;;"  2";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160127A";"6646";"0905";"LA GLORIETA OKEY CORRAL";;"1008";"6752";"OMAR HOSCIO";"  85";"  25.0";"  25.0";"   4.25";"280988";;;;;;"  4";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160128A";"6646";"0905";"HDA EL OLIVO";;"1008";"6752";"VICENTE RODRIGUEZ";;;;;;;;;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160072N";"6646";"0900";"ESCUELA ITACA FLOR AMARILLO";;"100840";"675614";"MARNR";"1086";" 108.8";" 108.8";;"080188";;" 432.43";;"  8";"SI";"  2";;;"1121585.75";" 616434.80";18/1/1994 0:00:00
"CA6160073N";"6646";"0203";"SECTOR LOS ARUCOS TACARIGUA";"RED";"100524";"675550";"MARNR";"0886";"  85.1";"  85.1";;"080188";;" 421.54";;"  8";"SI";"  2";;"x";"1115567.47";" 617185.00";18/1/1994 0:00:00
"CA6160074N";"6646";"0900";"HDA PALMA SOLA FLOR AMARILLO";"RED";"100658";"675628";"MARNR";"0886";" 102.0";" 102.0";;"080188";;" 424.30";;"  8";"SI";"  2";;"x";"1118451.16";" 616018.89";18/1/1994 0:00:00
"CA6160075N";"6646";"0900";"ZONA IND EL RECREO";"RED";"100519";"675013";"MARNR";"0886";" 103.0";" 103.0";;"080188";;" 436.63";;"  8";"SI";"  2";;"x";"1115448.89";" 627444.32";18/1/1994 0:00:00
"CA6160076N";"6646";"0900";"URB LAS LOMAS";;"100737";"675950";"MARNR";"1086";"  95.8";"  95.8";;"080188";;" 436.04";;"  8";"SI";"  2";;;"1119629.69";" 609866.69";18/1/1994 0:00:00
"CA6160077N";"6646";"0905";"LAS AGUITAS CICLO BAS ANDRES B";;"101000";"675500";"MARNR";"0886";" 104.2";" 104.2";;"080188";;" 433.22";;"  8";"SI";"  2";;"x";"1124050.61";" 618678.86";18/1/1994 0:00:00
"CA6160082N";"6646";"0203";"SABANAS DE LA MATA";"RED";"100600";"675724";;;;;;;;;;;;;;"x";"1116664.05";" 614320.03";18/1/1994 0:00:00
"CA6160141A";"6646";"0905";"AGRP LAS NIEVES LA GLORIETA";;"101620";"674326";"SECUNDINO RODRIGUEZ";;" 102.0";" 102.0";"  12.00";"280988";;;;;;" 10";;;"1135801.01";" 639754.53";18/1/1994 0:00:00
"CA6259147N";"6646";"0801";"ASENT EL CARMEN";"RED";"101517";"674504";;;;;;;;;;;;;;"x";"1133853.94";" 636780.33";18/1/1994 0:00:00
"CA6260099N";"6646";"0905";"LOS CERRITOS";;"101006";"675415";"MARNR";"1086";" 106.8";" 106.8";"  34.00";"290988";;" 427.00";;"  8";"SI";"  2";;"x";"1124239.52";" 620047.77";18/1/1994 0:00:00
"CA6260100N";"6646";"0909";"ASENT LOS ARALES PARC 5";;"101300";"675713";"MARNR";"1186";"  93.0";"  93.0";;"080188";;" 448.40";;"  8";"SI";"  2";;"x";"1129566.51";" 614613.31";18/1/1994 0:00:00
"CA6160129A";"6646";"0905";"LA GLORIETA OKEY CORRAL";;"1008";"6752";"OMAR HOSCIO";;"  25.0";"  25.0";"   4.25";"280988";;;;;;"  6";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160130A";"6646";"0905";"LOS OLIVOS";;"1008";"6752";"JOSE ZOPPY";;"  60.0";"  60.0";"   1.60";"280988";"  6";;;;;"  8";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160131A";"6646";"0905";"HDA ESTEVAN PADRON";;"1008";"6752";"ESTEVAN PADRON";;"  48.0";"  48.0";"   2.00";"280988";;;;;;" 12";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160132A";"6646";"0905";"LA ESMRALDA";;"1008";"6752";"NAIM YAHYA";;" 105.0";" 105.0";"  10.00";"280988";"  5";;;;;"  8";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160133C";"6646";"0905";"LA GLORIETA PARC LAS MARIAS";;"1008";"6752";"RAFAEL CANTILLO";;;"   9.0";"   6.00";"280988";;;;;;"  3";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160134A";"6646";"0905";"EL ROBLE FCA SIN AGUA";;"1009";"6754";"AGUSTIN CORREA";;"  26.0";"  26.0";"  10.50";"280988";" 21";;;;;"  4";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160135A";"6646";"0905";"LA GLORIETA";;"1008";"6752";"LUIS SAMURIO";;"  20.0";"  20.0";;"280988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160136A";"6646";"0905";"EL ROBLE GJA PALMARITO";;"1009";"6754";;;;;;;;;;;;;;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160137A";"6646";"0905";"LA GLORIETA";;"1008";"6752";"RODRIGO";;;;;;;;;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160138A";"6646";"0905";"EL ROBLE GJA PALMARITO";;"1009";"6754";"OSCAR DIAZ";;;;"   7.30";"230988";;;;" 10";;"  6";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160139A";"6646";"0905";"EL ROBLE LA GLORIETA";;"1009";"6754";"RODRIGO MORALES";;" 100.0";" 100.0";"   7.00";"200988";;;;;;;;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160140A";"6646";"0905";"GJA EL MILAGRO  EL ROBLE";;"1009";"6754";"INVERSIONES LARREAL";;"  35.0";"  35.0";;;;;;;;;;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160143A";"6646";"0905";"EL ROBLE";;"1009";"6754";"RODRIGO MORALES";;" 150.0";" 150.0";"  13.00";"280988";;;;;;" 20";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160145A";"6646";"0905";"EL ROBLE";;"1009";"6754";"RODRIGO MORALES";;" 150.0";" 150.0";"  13.00";"280988";;;;;;" 20";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6159192A";"6646";"0201";"ASENT LA ADUANA EL CAOBAL";;"100531";"674421";"VIRGILIO TROMPIS";"0588";" 120.0";" 120.0";;"130988";;;;"  6";;"  4";;;"1115857.24";" 638158.68";18/1/1994 0:00:00
"CA6159193A";"6646";"0201";"GJA LA ORIENTAL  LA ADUANA";;"100616";"674434";"RODOLFO GIL";;;;"   2.20";"130988";;;;;;"  8";;;"1117238.10";" 637757.61";18/1/1994 0:00:00
"CA6159063A";"6646";"0201";"LA ADUANA PARC LOS NARANJALES";;"100558";"674428";"ANTONIO GONZALES";;"  70.0";"  70.0";"  15.30";"130988";;;;;;"  6";;;"1116685.85";" 637942.39";18/1/1994 0:00:00
